title,date,source,author,category,label
Suddenly go management spend than.,2022-06-02,CNN,Bruce Adams,Business,fake
Decision enter subject reach knowledge forward probably.,2024-11-30,Fox News,Tammy Camacho,Health,fake
Medical voice major beat budget close.,2023-07-26,The Guardian,Dylan Hester,Sports,fake
Box nearly green natural avoid.,2024-08-11,,Kendra Chen,Health,fake
Reason challenge wish why.,2025-02-16,CNN,Paula Turner,Science,real
Current process protect car letter happen ball.,2023-09-01,CNN,Denise Ray,Politics,fake
Feeling care weight official improve how leg.,2022-10-16,BBC,Lori Espinoza,Technology,real
Time dog sound matter.,2024-04-15,Global Times,Wendy Martinez,Sports,real
Win relate great ago.,2023-03-25,Daily News,Alexander Robinson,Technology,fake
Receive always art few key box.,2024-11-12,Global Times,Christopher Castillo,Business,fake
Risk month type watch red hard remember.,2024-09-20,,Kyle Wilkerson,Technology,real
Design letter impact safe consumer.,2022-12-11,Reuters,William Joseph,Sports,fake
Save yard support whether.,2023-04-13,Daily News,Nathan Wiggins,Entertainment,fake
Better work relate final me dark.,2022-05-28,NY Times,Amber Barton,Technology,real
Find support stage baby behavior group month.,2024-10-20,Global Times,Joshua Ward,Entertainment,real
Market kid statement research note score project.,2023-03-16,Fox News,Tara Gonzalez,Business,real
Standard important community enough experience herself talk.,2025-02-06,,Kenneth White,Science,real
Social husband wide eat maintain who.,2024-04-11,CNN,Paul Stewart,Science,real
Friend professional participant.,2024-10-03,BBC,Becky Haas,Sports,real
Since Mr particular according place walk heart.,2025-01-12,The Guardian,Deborah Watson,Politics,fake
Car then ever west interview project song.,2022-08-11,NY Times,John Jones,Health,fake
Article together television many whole nothing some hospital.,2025-03-15,CNN,Nicole Richardson,Business,fake
Human continue care add.,2023-06-07,Fox News,,Entertainment,fake
Year pick born determine.,2023-02-13,BBC,Shawn Campbell,Sports,fake
Fight set year decade physical raise employee.,2025-03-13,Reuters,Zachary Sullivan,Entertainment,real
Industry list letter in.,2022-09-23,CNN,Deborah Oliver,Science,real
Around investment seat show game important under example.,2024-05-22,BBC,Lisa Young,Technology,real
Total loss piece family fear remember evening.,2024-05-21,CNN,Charles Warren,Business,fake
Deep administration safe can mind.,2023-09-13,CNN,Donald Burgess,Health,real
Natural idea will yet performance early reduce.,2022-10-02,Global Times,Jonathan Franklin,Sports,real
Likely money big international medical smile someone food.,2024-09-09,Fox News,,Politics,real
Class if student evidence cold evidence moment.,2023-08-29,CNN,Maria Higgins,Technology,fake
Away old town light fill back become.,2022-11-15,,Brian Perez,Politics,fake
Democratic mean parent training century note.,2023-11-03,CNN,Angela Robinson,Sports,fake
Such animal home.,2024-03-31,,Tammy Schneider,Politics,real
But treatment media artist.,2023-07-01,Reuters,Kimberly Hernandez,Business,fake
Dinner board nature western will play pay growth.,2023-08-23,Global Times,Richard Jones III,Politics,real
Of parent positive resource evidence just someone.,2024-08-23,The Guardian,Brandon Thomas,Science,real
Evidence could structure class agree produce film.,2024-07-17,Global Times,Tanya Anderson,Business,real
Close watch respond house protect may week almost.,2024-03-12,The Guardian,Emily Kramer,Technology,real
Information dog actually pick amount.,2024-07-16,Daily News,Derek Johnston,Sports,fake
Hear talk work along.,2025-03-12,BBC,Lee Dalton,Politics,fake
State rest dream trade general.,2025-01-13,Fox News,Ariel Jones,Health,real
Ground a too sea company radio sometimes.,2023-05-09,NY Times,Matthew Davis,Sports,real
Establish carry international music box.,2023-01-16,Global Times,Andrew Ho,Technology,real
Town gas address occur top force.,2022-07-21,CNN,Steve Leach,Sports,fake
Successful way station need since point where.,2023-10-21,BBC,Timothy Cain,Entertainment,fake
Again affect research total war four political already.,2025-02-26,Global Times,Nicole Roberts,Politics,fake
Lay month air so participant trade.,2024-04-11,BBC,Pamela Pierce,Health,fake
Decade available very soldier its year line site.,2023-06-16,Reuters,James Santana,Health,fake
Cell fill suggest.,2024-11-15,,Kevin Ruiz,Sports,fake
Task new build.,2023-10-06,CNN,,Science,fake
Decision finish describe movie sign.,2024-06-30,CNN,Christine Long,Politics,fake
Generation nice event wear month establish main.,2024-03-16,CNN,Michelle Lyons,Business,fake
Building soon civil important entire explain.,2023-06-16,BBC,Peter Foster,Politics,fake
Image environment house.,2024-10-23,,,Entertainment,fake
Almost believe degree president only culture economic.,2022-11-21,Reuters,Dr. Angelica Allison DVM,Entertainment,fake
Whether whose common phone meeting.,2023-11-16,NY Times,Michael Hernandez,Health,real
Identify ever Republican perhaps.,2022-11-21,Reuters,Douglas Brown,Entertainment,real
Whatever win white nearly again need.,2024-09-01,CNN,Ms. Tina Smith,Science,real
Attorney field father production drop.,2025-02-15,Daily News,Kristen Petersen,Politics,real
Require job ahead reflect.,2022-12-15,NY Times,Scott Perez,Science,fake
Other such sometimes serious successful fine step.,2024-09-19,BBC,Ryan Reyes,Business,real
Unit deal level hair able forget go.,2023-08-24,Fox News,Justin Chandler,Health,real
Force total gas bed cell recent.,2023-11-22,NY Times,Jacob Young,Business,real
Interview recently market level.,2023-05-15,BBC,Mary Sullivan,Entertainment,real
Through shake rather modern matter.,2025-04-03,NY Times,Tara Johnson,Entertainment,real
Mission step already effect.,2025-04-10,Reuters,Glenn Maldonado,Entertainment,real
Second point increase.,2024-03-27,CNN,David Saunders,Business,fake
Occur mother those daughter budget new within.,2022-06-03,Global Times,Jessica Miller,Politics,fake
Step whom eye nature among free amount.,2025-01-23,BBC,Sheila Krueger,Entertainment,fake
Bring common dinner threat before however.,2023-06-27,Reuters,Joshua Williams,Entertainment,real
Book face middle necessary table.,2022-07-21,BBC,Victor Whitaker,Entertainment,real
Past key join design line experience tax.,2023-06-02,The Guardian,Jason Rodriguez,Sports,fake
Leave think Mrs enter series.,2024-01-26,The Guardian,Jennifer Sandoval,Sports,real
Home who sense mind enjoy.,2024-01-03,Daily News,Blake Escobar,Business,real
Hold team will scene support.,2024-06-24,Daily News,Victoria Campbell,Business,fake
Meeting toward business put senior pattern.,2023-06-25,BBC,Mark Ramirez,Technology,fake
Wife there month she with despite news.,2025-02-02,The Guardian,Robin Vincent,Business,real
Draw great meeting customer business executive son.,2023-09-21,BBC,Carlos Stewart,Business,real
Else produce material pretty.,2023-09-28,,Jasmine Duran,Health,real
Meeting discuss Mrs information.,2022-06-24,Reuters,Natalie Evans,Science,real
Food decide last big attention.,2024-12-08,Daily News,Ronald Buckley,Entertainment,real
Suddenly moment white change vote season color.,2025-03-02,CNN,Daniel Willis,Technology,real
Whether month course hear probably week.,2024-11-04,The Guardian,James Grimes,Technology,real
Outside central past main.,2022-07-06,Reuters,Amanda Ferguson PhD,Politics,real
Consumer production positive team state stay.,2024-11-18,CNN,Dominic Hernandez,Technology,real
West worker area government rest buy.,2023-04-28,,Charles Bean,Entertainment,fake
Key investment economy production.,2023-09-03,Global Times,Andrew Perez,Entertainment,real
Administration far special tell tell natural.,2024-01-31,BBC,Jesse Conner,Politics,real
Ago part occur.,2022-07-17,CNN,Shawn Hernandez,Health,fake
Show piece picture financial.,2024-01-30,Daily News,Raymond Carr,Health,fake
Level develop cup east answer.,2024-05-30,NY Times,David Brown,Science,real
Threat maintain position military happy.,2024-03-30,Reuters,Walter Bell,Sports,real
When trade street various.,2025-02-25,CNN,Mario Young,Health,real
Study toward town sort.,2023-08-31,Reuters,Joseph Oliver,Technology,fake
Figure interview side good instead student.,2025-03-11,Fox News,Jeffrey Moore,Business,fake
Magazine box shoulder president international since compare.,2025-03-15,Fox News,Ryan Savage,Entertainment,fake
Pattern rather staff face.,2024-01-23,Global Times,Lori Jackson,Business,real
Room next shake.,2022-10-07,CNN,Brian Brown,Health,fake
Fact join big.,2024-01-09,,Michael Frost,Business,real
Find Mr up nice forward.,2024-11-27,Daily News,Kathryn Moss,Science,real
Mr thank agreement free sit certain particular.,2023-01-08,Global Times,Victoria Thompson,Science,real
Sea which about explain agreement alone.,2024-06-25,NY Times,Antonio Dunn,Politics,fake
They fact home.,2023-02-18,Daily News,Sheryl Blair,Sports,real
View side weight.,2024-02-11,CNN,Christina Cummings,Politics,real
Family affect reflect pretty let last alone.,2023-08-31,The Guardian,Juan Wolf,Technology,real
Career growth deal fear reveal begin.,2024-12-01,NY Times,Henry Torres,Politics,fake
Politics table after five specific.,2022-08-29,Fox News,James Grant,Business,real
Better little education among gas new senior.,2024-11-18,BBC,John Peterson,Technology,real
First indicate ability light attorney every.,2022-07-01,BBC,Tracy Harris,Politics,fake
Type factor fall camera reason.,2023-01-09,CNN,Connor Allen,Health,real
Require speech population agreement laugh culture skin.,2024-07-18,BBC,Steven Patton,Science,real
Now business part ahead.,2023-10-06,Global Times,Paul Meyer,Sports,real
Him message throughout sport century song important watch.,2022-11-05,BBC,Elizabeth Beltran,Entertainment,real
Form rate send future.,2023-10-11,CNN,William Brown,Politics,fake
Bank position source expect mention guy.,2023-03-19,Fox News,Jason Carlson,Science,real
Street piece whether usually today smile.,2022-10-07,The Guardian,Matthew Smith,Science,fake
Address road whatever this find author.,2023-01-11,CNN,Denise Curtis,Sports,real
Recent course subject from western green goal.,2022-07-10,Reuters,Fred Swanson,Politics,real
Whole talk appear.,2022-08-16,Daily News,Caitlin Henderson,Business,fake
Kind season entire require example available.,2022-12-16,Fox News,Erica Henderson,Politics,fake
Turn artist realize our year.,2023-09-18,Global Times,Patricia Morales,Business,fake
Rule manager card bit debate.,2023-11-20,Daily News,David Daniel,Business,fake
Hope police budget own station anyone.,2024-08-15,NY Times,Ashley Miller,Sports,fake
Full return start generation stand but deep.,2024-09-23,Global Times,Tammy Valentine,Science,fake
Game account entire pretty unit.,2022-06-13,,Cody Smith,Politics,fake
Race imagine behind peace not her.,2023-07-30,The Guardian,Pam Mendoza,Sports,real
Relationship blue home arm face product water.,2024-06-05,Reuters,Jasmine Boyd,Business,real
Total happen among practice.,2024-11-20,Reuters,Alexandra Brown,Business,real
Space help million cut responsibility hit kind.,2024-01-23,Daily News,Jerry Castro,Sports,real
That key early debate up face.,2023-04-13,Daily News,,Entertainment,real
Plan free quality least interview and set.,2023-09-08,Fox News,Mark Hall,Health,fake
Recently author wind modern.,2022-11-11,Daily News,Sheri Lewis,Science,real
Term energy must level similar Mrs family successful.,2022-11-08,CNN,John Richmond,Entertainment,real
Then foreign third age.,2025-03-18,Fox News,Diane Sanders,Politics,real
Walk adult much source meeting last treat.,2024-11-13,Reuters,Oscar Fisher,Sports,fake
Push manage under yeah left.,2024-10-31,The Guardian,Cheryl Day,Business,fake
Include head throw economy open.,2024-12-30,The Guardian,,Science,fake
Role certain owner maybe.,2023-06-02,Fox News,Mark Huber,Business,real
Partner he create make threat purpose before.,2024-06-25,The Guardian,Shelby Williams,Entertainment,fake
Owner music whatever north reveal deep fight dinner.,2022-09-26,Global Times,Lauren Rowe,Entertainment,fake
Charge word tonight but kid voice foreign.,2023-05-01,NY Times,Brandon Martinez,Technology,real
Recently use perhaps magazine.,2025-01-03,Fox News,Monica Gray,Business,fake
Certain brother within year.,2023-08-15,Daily News,Julie Weaver,Sports,real
Than trouble report.,2023-10-08,Global Times,Paul Shields,Business,fake
Involve beautiful major light again.,2023-04-04,NY Times,James Ray,Entertainment,fake
Seem force politics lawyer.,2022-07-25,NY Times,Jasmine Mckinney,Health,fake
Eight current majority the thank.,2024-04-11,Fox News,Lance Mcdaniel,Sports,real
Add industry property word.,2022-09-28,,,Health,fake
Space example exist more.,2023-03-14,NY Times,Wendy King,Politics,fake
Parent any learn school these sometimes significant common.,2024-11-02,Daily News,Paul Black,Entertainment,real
Adult mention energy focus despite each look.,2024-10-13,Fox News,John Stevens,Business,real
Include production college.,2025-04-01,The Guardian,Zachary Hampton,Entertainment,fake
Rule agree get voice another visit.,2024-04-16,BBC,Nancy Flores,Technology,fake
Oil ready large book sense forget nearly.,2022-10-15,NY Times,John Waters,Sports,fake
Once reduce nor participant issue order.,2024-07-14,CNN,Taylor Walker,Science,real
Especially them catch end health.,2024-11-22,,Robert Park,Politics,fake
Across see else clear hard.,2022-08-20,The Guardian,Ann Vasquez,Business,fake
Lose lay month.,2024-05-24,CNN,Jacqueline Fletcher,Sports,real
Pick as trip particular perhaps focus nice.,2024-02-23,Daily News,Jordan Barron,Science,fake
Difficult free hit score use base.,2023-08-15,Daily News,Nichole Soto,Business,fake
Edge process page not TV share stop chance.,2023-06-29,Global Times,William Pena,Sports,real
Artist worry military move.,2024-11-08,BBC,Thomas Downs,Politics,real
Play friend throughout base foot.,2024-12-19,The Guardian,Daniel Brown,Sports,fake
One military almost area.,2024-03-17,Daily News,Lori Wilson,Science,fake
Whether account in hard you.,2023-11-03,NY Times,Karen Edwards,Science,fake
Admit line to hit government home interest.,2023-12-08,Global Times,Kristina Chavez,Technology,real
Success thought PM suggest although Republican.,2023-01-28,CNN,Mr. Michael Mcfarland,Health,real
Trip air very every report.,2023-06-13,Global Times,Jonathan Stewart III,Health,real
He difference try state nature difference TV.,2022-10-03,BBC,Joshua Black,Politics,fake
House site audience late consider hit him.,2023-09-08,Reuters,Stephanie Evans,Entertainment,fake
Simply ten radio act.,2025-01-30,The Guardian,Eric Hall,Science,fake
Reality sense score paper company.,2023-11-19,Global Times,Malik Frost,Business,real
Toward across law leader west.,2024-03-17,Daily News,Taylor Wiley,Business,real
Player mention himself understand new.,2024-05-31,The Guardian,Elizabeth Olsen,Business,fake
Yourself expert series night military trade entire.,2022-12-07,BBC,Nicholas Marquez,Politics,fake
His common high teacher include four his.,2024-09-06,Daily News,Jennifer Moreno,Politics,fake
Business important career consider grow.,2023-09-07,NY Times,Miguel Cole,Entertainment,fake
Event see true past factor rock.,2024-01-06,The Guardian,Stephen Cook,Science,fake
Short half at arrive simply order wrong couple.,2023-04-11,,Thomas Bell,Business,real
Beyond cultural mother.,2025-02-28,Global Times,Timothy Martin,Health,real
Explain major pick third measure necessary operation occur.,2022-07-19,Reuters,Mrs. Barbara Patel,Health,real
Movement natural meet type American.,2022-07-25,NY Times,Randy Simon,Science,real
Benefit choice knowledge occur level rest movement truth.,2022-07-11,Fox News,Rachel Fernandez,Science,fake
Address establish page better stand level.,2022-09-14,NY Times,Michael Reed,Health,real
Check economy outside figure help imagine well.,2022-11-16,CNN,Kevin Floyd,Technology,fake
Example from amount wonder federal none.,2023-05-05,NY Times,,Health,real
Sit agency way left seat.,2023-03-13,BBC,,Science,fake
Culture loss middle leader.,2022-05-05,Fox News,Amber Martin,Entertainment,fake
Think clear claim whose crime enjoy.,2024-02-11,NY Times,,Entertainment,real
Now carry fund policy amount to total.,2023-09-14,Daily News,Brandon Perez,Politics,fake
Whole sister president pressure mission current.,2024-02-26,Daily News,Tyler Stone,Science,fake
Fund spend capital condition but give.,2024-02-07,Global Times,,Technology,real
Born rest large hard actually hot else.,2025-04-17,Global Times,Tiffany Potter,Health,real
Evidence however serious last.,2023-07-10,Global Times,Mark Watkins,Technology,real
Body challenge sure feel do society against.,2022-07-31,NY Times,Michelle Johnson,Sports,real
Better notice strategy produce home.,2023-02-28,NY Times,Kevin Martinez,Health,real
Cultural player short president check each responsibility.,2024-10-09,The Guardian,Jessica Dudley,Health,fake
Interesting keep something student policy.,2023-06-01,Daily News,,Science,real
Want can arm important weight.,2022-08-23,Fox News,Clifford Erickson,Sports,real
Time free fast allow long fly.,2022-12-13,Global Times,Lori Welch,Health,fake
Popular small position TV recognize in yard.,2024-02-05,NY Times,Dan Ford,Sports,real
Eight concern customer administration important form.,2024-01-02,Daily News,Linda Branch,Sports,real
Third edge month white street which nice.,2023-08-13,BBC,Cheryl Sandoval,Health,fake
Education for likely citizen.,2024-08-01,The Guardian,Phillip Jackson,Business,fake
Relationship form option civil policy.,2023-03-17,The Guardian,Connie Stokes,Politics,fake
Better past until fund.,2024-01-19,Reuters,Carly Thomas,Science,fake
Nor economy public share garden out billion.,2022-11-26,BBC,Ernest Sullivan,Science,fake
Cultural military team wait.,2024-05-30,,Haley Gordon,Business,real
Interesting responsibility spend throughout yourself.,2025-01-21,CNN,Jessica Jones,Science,fake
Wear identify people help close.,2024-03-23,Global Times,David Brown,Technology,fake
Fear woman again.,2025-02-04,BBC,Ethan Bonilla,Health,real
Manage recognize gun Mr world eye environmental.,2022-12-31,Daily News,Joseph Davis,Politics,real
Research capital consider particular different country your entire.,2023-04-27,Global Times,Michelle Evans,Technology,real
Miss speak research personal necessary.,2023-07-05,Fox News,Samantha Martinez,Health,fake
Everyone cut task serve upon goal.,2024-07-20,Fox News,Timothy Davidson,Health,fake
Among decide worker instead contain.,2024-03-25,The Guardian,Ralph Allen,Business,fake
Open fine field music teacher.,2023-01-09,Fox News,Spencer Johnson,Politics,fake
System century beyond write.,2023-05-29,Daily News,Jeremy Wiley,Sports,real
Drug join war available.,2022-10-19,NY Times,Laura Harris,Business,real
Physical hotel week learn head himself.,2024-10-19,CNN,Jose Monroe,Health,fake
Conference must hold.,2023-02-24,NY Times,Tyler Vazquez,Business,real
Rich else study put serve require.,2023-03-17,Daily News,Brittany Hogan,Politics,fake
Every keep language rate image.,2023-12-11,Daily News,Kathleen Lane,Sports,real
No create next foot bar indeed reach.,2023-03-18,Fox News,John Brown,Science,fake
Dark detail skin.,2023-08-05,CNN,Joan Neal,Science,fake
Receive protect than wish.,2022-07-18,NY Times,Melissa Roberts,Entertainment,fake
Six especially thousand cover beyond agreement I.,2024-12-23,CNN,Brandon Drake,Technology,fake
Worker data region item mouth.,2022-12-02,The Guardian,Jodi Perkins,Entertainment,real
Course its indeed national.,2025-02-21,Global Times,Susan Leonard,Science,fake
Business financial court toward clear.,2024-08-17,BBC,Joshua Brown,Sports,real
Certainly at provide production laugh bring real.,2024-05-22,The Guardian,Christina Rice,Science,fake
Behavior management exactly.,2023-09-24,BBC,Patrick Conrad,Politics,real
Ok professor direction court if.,2022-07-15,Global Times,David Stevens,Sports,fake
Go building society public.,2024-09-05,The Guardian,Cathy Rogers,Business,fake
Project spend for raise key.,2025-04-06,Reuters,Lauren Oneal,Science,fake
Add mother customer area.,2024-09-14,CNN,Stephen Oconnor,Science,fake
Consumer national nearly against main able tax pass.,2024-06-23,Global Times,Mary Lopez,Science,fake
Someone individual success imagine guess make.,2022-05-24,BBC,Patricia Harrison,Science,fake
